"day","state","suspect.cases","confirmed.cases","discarded.cases","deaths","local.transmission"
2020-03-16,"Minas Gerais",420,6,85,NA,NA
2020-03-17,"Minas Gerais",692,14,88,NA,"yes"
2020-03-17,"Mato Grosso do Sul",26,6,69,NA,"yes"
2020-03-17,"São Paulo",5047,164,709,0,"yes"
2020-03-18,"Acre",55,3,34,0,"no"
2020-03-18,"Alagoas",34,1,22,0,NA
2020-03-18,"Amapá",50,0,0,0,"no"
2020-03-18,"Amazonas",44,2,39,0,"no"
2020-03-18,"Bahia",747,27,385,0,NA
2020-03-18,"Ceará",259,19,111,0,NA
2020-03-18,"Distrito Federal",191,34,94,0,"yes"
2020-03-18,"Espírito Santo",372,11,114,0,NA
2020-03-18,"Goiás",230,12,NA,0,NA
2020-03-18,"Maranhão",72,0,36,0,"no"
2020-03-18,"Mato Grosso",25,0,17,0,"no"
2020-03-18,"Mato Grosso do Sul",48,7,51,0,"yes"
2020-03-18,"Minas Gerais",703,19,88,0,"yes"
2020-03-18,"Pará",64,1,27,0,NA
2020-03-18,"Paraíba",80,1,16,0,"no"
2020-03-18,"Paraná",67,14,119,0,NA
2020-03-18,"Pernambuco",250,19,85,0,"no"
2020-03-18,"Piauí",NA,0,NA,NA,NA
2020-03-18,"Rio de Janeiro",NA,63,NA,0,"yes"
2020-03-18,"Rio Grande do Norte",75,1,32,0,"no"
2020-03-18,"Rio Grande do Sul",39,19,330,NA,NA
2020-03-18,"Rondônia",51,0,0,0,"no"
2020-03-18,"Roraima",5,0,9,0,"no"
2020-03-18,"Santa Catarina",177,14,NA,NA,"yes"
2020-03-18,"São Paulo",NA,240,NA,3,"yes"
2020-03-18,"Sergipe",8,6,25,0,"no"
2020-03-18,"Tocantins",28,1,1,0,NA
2020-03-19,"Acre",19,4,80,0,"no"
2020-03-19,"Alagoas",38,4,29,0,"no"
2020-03-19,"Amapá",66,0,0,0,"no"
2020-03-19,"Amazonas",52,3,42,0,"no"
2020-03-19,"Bahia",998,31,443,0,"no"
2020-03-19,"Ceará",752,24,NA,0,NA
2020-03-19,"Distrito Federal",235,42,134,0,"yes"
2020-03-19,"Espírito Santo",488,13,148,0,NA
2020-03-19,"Goiás",303,14,NA,0,NA
2020-03-19,"Maranhão",204,0,38,0,"no"
2020-03-19,"Mato Grosso",59,0,11,NA,"no"
2020-03-19,"Mato Grosso do Sul",39,9,112,0,"yes"
2020-03-19,"Minas Gerais",2140,29,104,NA,"yes"
2020-03-19,"Pará",74,1,32,NA,NA
2020-03-19,"Paraíba",NA,NA,NA,NA,NA
2020-03-19,"Paraná",146,23,122,0,"no"
2020-03-19,"Pernambuco",311,28,166,0,NA
2020-03-19,"Piauí",65,3,38,0,NA
2020-03-19,"Rio de Janeiro",NA,66,NA,2,"yes"
2020-03-19,"Rio Grande do Norte",NA,NA,NA,NA,NA
2020-03-19,"Rio Grande do Sul",208,31,370,NA,NA
2020-03-19,"Rondônia",84,0,8,0,"no"
2020-03-19,"Roraima",12,0,9,0,"no"
2020-03-19,"Santa Catarina",273,21,NA,NA,NA
2020-03-19,"São Paulo",NA,286,NA,5,"yes"
