Unidade da Federação;Suspeitos;Confirmados;Descartados;Óbitos;Transmissão local
Rondônia;1;0;0;0;Não
Amazonas;5;0;1;0;Não
Pará;1;0;5;0;Não
Maranhão;0;0;2;0;Não
Piauí;1;0;2;0;Não
Ceará;16;0;18;0;Não
Rio Grande do Norte;4;0;8;0;Não
Paraíba;4;0;1;0;Não
Pernambuco;8;0;12;0;Não
Alagoas;6;0;1;0;Não
Sergipe;2;0;0;0;Não
Bahia;23;0;29;0;Não
Minas Gerais;80;0;12;0;Não
Espírito Santo;5;0;8;0;Não
Rio de Janeiro;79;1;58;0;Não
São Paulo;182;6;159;0;Não
Paraná;20;0;9;0;Não
Santa Catarina;54;0;4;0;Não
Rio Grande do Sul;104;0;25;0;Não
Mato Grosso do Sul;11;0;3;0;Não
Mato Grosso do Sul;6;0;0;0;Não
Goiás;4;0;12;0;Não
Distrito Federal;20;0;9;0;Não
