Unidade da Federação;Casos suspeitos;Casos provaveis;Casos confirmados;Casos descartados;Óbitos;Total;Transmissão local
Rondônia;2;0;0;1;0;3;Não
Acre;3;0;0;0;0;3;Não
Amazonas;1;0;0;7;0;8;Não
Pará;5;0;0;13;0;18;Não
Maranhão;6;0;0;2;0;8;Não
Piauí;1;0;0;2;0;3;Não
Ceará;22;0;0;42;0;64;Não
Rio Grande do Norte;13;0;0;14;0;27;Não
Paraíba;7;0;0;6;0;13;Não
Pernambuco;17;0;0;22;0;39;Não
Alagoas;4;0;1;7;0;12;Não
Sergipe;2;0;0;3;0;5;Não
Bahia;65;0;2;36;0;103;Sim
Minas Gerais;117;0;1;22;0;140;Não
Espírito Santo;31;0;1;13;0;45;Não
Rio de Janeiro;87;0;13;133;0;233;Não
São Paulo;263;0;30;320;0;613;Sim
Paraná;49;0;0;27;0;76;Não
Santa Catarina;47;0;0;32;0;79;Não
Rio Grande do Sul;67;0;2;159;0;228;Não
Mato Grosso do Sul;6;0;0;11;0;17;Não
Mato Grosso;1;0;0;7;0;8;Não
Goiás;17;0;0;28;0;45;Não
Distrito Federal;74;0;2;28;0;104;Não
