Unidade da Federação;Casos suspeitos;Casos confirmados;Casos descartados;Óbitos;Total;Transmissão local
Rondônia;2;0;1;0;3;Não
Acre;3;0;0;0;3;Não
Amazonas;0;1;7;0;8;Não
Roraima;2;0;0;0;2;Não
Pará;1;0;22;0;23;Não
Amapá;2;0;0;0;2;Não
Tocantins;3;0;0;0;3;Não
Maranhão;6;0;2;0;8;Não
Piauí;2;0;3;0;5;Não
Ceará;22;0;60;0;82;Não
Rio Grande do Norte;14;1;15;0;30;Não
Paraíba;33;0;15;0;48;Não
Pernambuco;18;2;23;0;43;Não
Alagoas;16;1;22;0;39;Não
Sergipe;1;1;11;0;13;Não
Bahia;65;2;40;0;107;Sim
Minas Gerais;102;5;88;0;195;Não
Espírito Santo;50;1;21;0;72;Não
Rio de Janeiro;96;31;153;0;280;Sim
São Paulo;1.177;152;623;0;1.952;Sim
Paraná;85;6;83;0;174;Não
Santa Catarina;109;7;44;0;160;Não
Rio Grande do Sul;119;6;218;0;343;Não
Mato Grosso do Sul;12;2;19;0;33;Não
Mato Grosso;14;0;7;0;21;Não
Goiás;3;3;54;0;60;Não
Distrito Federal;107;13;93;0;213;Não
