Unidade da Federação;Casos suspeitos;Casos confirmados;Casos descartados;Óbitos;Total;Transmissão local
Rondônia;38;0;3;0;41;Não
Acre;8;0;0;0;8;Não
Amazonas;7;1;19;0;27;Não
Roraima;5;0;0;0;5;Não
Pará;21;0;22;0;43;Não
Amapá;6;0;0;0;6;Não
Tocantins;11;0;0;0;11;Não
Maranhão;52;0;8;0;60;Não
Piauí;14;0;4;0;18;Não
Ceará;211;5;95;0;311;Não
Rio Grande do Norte;72;1;21;0;94;Não
Paraíba;48;0;15;0;63;Não
Pernambuco;71;16;33;0;120;Não
Alagoas;34;1;20;0;55;Não
Sergipe;7;4;12;0;23;Não
Bahia;375;3;59;0;437;Sim
Minas Gerais;563;7;99;0;669;Não
Espírito Santo;69;1;21;0;91;Não
Rio de Janeiro;859;33;194;0;1.086;Sim
São Paulo;5.047;164;709;1;5.921;Sim
Paraná;240;6;82;0;328;Não
Santa Catarina;220;7;55;0;282;Não
Rio Grande do Sul;300;10;217;0;527;Não
Mato Grosso do Sul;44;4;45;0;93;Não
Mato Grosso;23;0;7;0;30;Não
Goiás;221;6;54;0;281;Não
Distrito Federal;253;22;96;0;371;Não
