Unidade da Federação;Casos suspeitos;Casos confirmados;Casos descartados;Óbitos;Total;Transmissão local
Rondônia;61;0;2;0;63;Não
Acre;12;0;0;0;12;Não
Amazonas;18;1;26;0;45;Não
Roraima;9;0;0;0;9;Não
Pará;43;0;23;0;66;Não
Amapá;15;0;0;0;15;Não
Tocantins;13;0;0;0;13;Não
Maranhão;125;0;13;0;138;Não
Piauí;12;0;2;0;14;Não
Ceará;493;9;89;0;591;Não
Rio Grande do Norte;108;1;22;0;131;Não
Paraíba;85;0;11;0;96;Não
Pernambuco;89;16;23;0;128;Sim
Alagoas;43;1;22;0;66;Não
Sergipe;15;5;11;0;31;Não
Bahia;573;3;36;0;612;Sim
Minas Gerais;925;15;104;0;1.044;Sim
Espírito Santo;71;9;21;0;101;Não
Rio de Janeiro;1.254;45;148;0;1.447;Sim
São Paulo;5.334;240;596;4;6.174;Sim
Paraná;400;13;119;0;532;Não
Santa Catarina;346;10;47;0;403;Sim
Rio Grande do Sul;416;19;330;0;765;Não
Mato Grosso do Sul;93;7;26;0;126;Não
Mato Grosso;45;0;8;0;53;Não
Goiás;353;8;55;0;416;Não
Distrito Federal;327;26;107;0;460;Sim
